title,artist,year,spotify_url
I Love Rock 'N Roll,Joan Jett & the Blackhearts,1981,https://open.spotify.com/track/2Cdvbe2G4hZsnhNMKyGrie
Tainted Love,Soft Cell,1981,https://open.spotify.com/track/0cGG2EouYCEEC3xfa0tDFV
Africa,TOTO,1982,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
Beat It,Michael Jackson,1982,https://open.spotify.com/track/1OOtq8tRnDM8kG2gqUPjAj
I Wanna Rock,Twisted Sister,1984,https://open.spotify.com/track/70Z9t1qhytWtG4cCmmi7mU
Like a Virgin,Madonna,1984,https://open.spotify.com/track/22VWmcVQrYqHT4exHD6mMF
Material Girl,Madonna,1984,https://open.spotify.com/track/7bkyXSi4GtVfD7itZRUR3e
Take on Me,a-ha,1985,https://open.spotify.com/track/2WfaOiMkCvy7F5fcp2zZ8L
Kiss,Prince,1986,https://open.spotify.com/track/62LJFaYihsdVrrkgUOJC05
Livin' On A Prayer,Bon Jovi,1986,https://open.spotify.com/track/0J6mQxEZnlRt9ymzFntA6z
Master Of Puppets,Metallica,1986,https://open.spotify.com/track/2MuWTIM3b0YEAskbeeFE1i
Venus,Bananarama,1986,https://open.spotify.com/track/4XX1pFUkQOZTYp6Hb6a6Ae
Everywhere,Fleetwood Mac,1987,https://open.spotify.com/track/1prZ0pr6XoRCxcrC3MCL0M
Man in the Mirror,Michael Jackson,1987,https://open.spotify.com/track/2u2udGmop1z67EPpr91km7
Ice Ice Baby,Vanilla Ice,1989,https://open.spotify.com/track/3XVozq1aeqsJwpXrEZrDJ9
Love Shack,The B-52's,1989,https://open.spotify.com/track/4W4wYHtsrgDiivRASVOINL
U Can't Touch This,MC Hammer,1990,https://open.spotify.com/track/1B75hgRqe7A4fwee3g3Wmu
Baby Got Back,Sir Mix-A-Lot,1992,https://open.spotify.com/track/7MCNnnmwm7TXMh7xyNGohi
Creep,Radiohead,1992,https://open.spotify.com/track/70LcF31zb1H0PyJoS1Sx1r
Friday I'm In Love,The Cure,1992,https://open.spotify.com/track/4QlzkaRHtU8gAdwqjWmO8n
I Will Always Love You,Whitney Houston,1992,https://open.spotify.com/track/4eHbdreAnSOrDDsFfc4Fpm
Jump Around,House Of Pain,1992,https://open.spotify.com/track/2oTDOIAdsxPTE7yAp4YOcv
Show Me Love,Robin S,1992,https://open.spotify.com/track/4t0UsYzmmmZRMTWn77jiGF
Loser,Beck,1993,https://open.spotify.com/track/5PntSbMHC1ud6Vvl8x56qd
Basket Case,Green Day,1994,https://open.spotify.com/track/6L89mwZXSOwYl76YXfX13s
Cotton Eye Joe,Rednex,1994,https://open.spotify.com/track/0Jg602cHeMCnPez9baacIe
Welcome to Paradise,Green Day,1994,https://open.spotify.com/track/5kr3j5Clb9rjEposoMyLVt
Zombie,The Cranberries,1994,https://open.spotify.com/track/2IZZqH4K02UIYg5EohpNHF
Wonderwall,Oasis,1995,https://open.spotify.com/track/5wj4E6IsrVtn8IBJQOd0Cl
Pony,Ginuwine,1996,https://open.spotify.com/track/6mz1fBdKATx6qP4oP1I65G
Wannabe,Spice Girls,1996,https://open.spotify.com/track/1Je1IMUlBXcx1Fz0WE7oPT
Around the World,Daft Punk,1997,https://open.spotify.com/track/1pKYYY0dkg23sQQXi0Q5zN
Barbie Girl,Aqua,1997,https://open.spotify.com/track/2ZCTP54O2dMSbVrdsg60to
Let Me Entertain You,Robbie Williams,1997,https://open.spotify.com/track/0SLtqCrXBRrnkxSOMA3X4W
MMMBop,Hanson,1997,https://open.spotify.com/track/7eRAk2pnZDWhAiMmUdAOlb
Song 2,Blur,1997,https://open.spotify.com/track/4F64QXRV1EGHSm5jIeMmcQ
Tubthumping,Chumbawamba,1997,https://open.spotify.com/track/22HYEJveCvykVDHDiEEmjZ
...Baby One More Time,Britney Spears,1998,https://open.spotify.com/track/3MjUtNVVq3C8Fn0MP3zhXa
Believe,Cher,1998,https://open.spotify.com/track/2goLsvvODILDzeeiT4dAoR
Fly Away,Lenny Kravitz,1998,https://open.spotify.com/track/1OxcIUqVmVYxT6427tbhDW
Iris,The Goo Goo Dolls,1998,https://open.spotify.com/track/6Qyc6fS4DsZjB2mRW9DsQs
All Star,Smash Mouth,1999,https://open.spotify.com/track/3cfOd4CMv2snFaKAnMdnvK
All The Small Things,blink-182,1999,https://open.spotify.com/track/5uAzuQcZEufbP3NamOy2dH
Drive,Incubus,1999,https://open.spotify.com/track/73fzhVcs7n1wZz84eoE2vs
I Want It That Way,Backstreet Boys,1999,https://open.spotify.com/track/6e40mgJiCid5HRAGrbpGA6
Let's Get Loud,Jennifer Lopez,1999,https://open.spotify.com/track/6wY3O8syB9UoYGFcojLv4c
My Name Is,Eminem,1999,https://open.spotify.com/track/4rc9kQ6qyssElIccFJgbJb
No Scrubs,TLC,1999,https://open.spotify.com/track/1KGi9sZVMeszgZOWivFpxs
Say My Name,Destiny's Child,1999,https://open.spotify.com/track/7H6ev70Weq6DdpZyyTmUXk
Scar Tissue,Red Hot Chili Peppers,1999,https://open.spotify.com/track/1G391cbiT3v3Cywg8T7DM1
Still D.R.E.,"Dr. Dre, Snoop Dogg",1999,https://open.spotify.com/track/503OTo2dSqe7qk76rgsbep
The Bad Touch,Bloodhound Gang,1999,https://open.spotify.com/track/5EYdTPdJD74r9EVZBztqGG
The Next Episode,"Dr. Dre, Snoop Dogg",1999,https://open.spotify.com/track/4LwU4Vp6od3Sb08CsP99GC
Waiting for Tonight,Jennifer Lopez,1999,https://open.spotify.com/track/5yaCquc7koPqtgj7v0lwHX
Bye Bye Bye,*NSYNC,2000,https://open.spotify.com/track/62bOmKYxYg7dhrC6gH9vFn
In the End,Linkin Park,2000,https://open.spotify.com/track/60a0Rd6pjrkxjPbaKzXjfq
It Wasn't Me,"Shaggy, Rik Rok",2000,https://open.spotify.com/track/0OaunKfsxkgBvPv68jBbmm
Oops!...I Did It Again,Britney Spears,2000,https://open.spotify.com/track/6naxalmIoLFWR0siv8dnQQ
Stan,"Eminem, Dido",2000,https://open.spotify.com/track/3UmaczJpikHgJFyBTAJVoz
Teenage Dirtbag,Wheatus,2000,https://open.spotify.com/track/3LI4MmibTkXH5cGpCGZgyw
Yellow,Coldplay,2000,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
In Your Eyes,Kylie Minogue,2001,https://open.spotify.com/track/1F5jI1Uh59GCnvalivgtjR
The Middle,Jimmy Eat World,2001,https://open.spotify.com/track/5kD9T7GForh8LnRz5ClbL8
A Thousand Miles,Vanessa Carlton,2002,https://open.spotify.com/track/6Qm9MaditCcx5V62rVHYqu
Clocks,Coldplay,2002,https://open.spotify.com/track/0BCPKOYdS2jbQ8iyB56Zns
Complicated,Avril Lavigne,2002,https://open.spotify.com/track/2IiNA0s5eQBSjwK4iNeUvW
Dilemma,"Nelly, Kelly Rowland",2002,https://open.spotify.com/track/0ARK753YaiJbpLUk7z5yIM
Fighter,Christina Aguilera,2002,https://open.spotify.com/track/7nXq1vaZiz7PdbfojpPjW5
